priority,group,eve_category,eve_command,standard_shortcut,voice_phrases,press_count,repeat_gap_seconds,response_suffix,response_text,action
App,App Control,EVE Voice Pilot,Arm/Pause Listening,PAUSE,,,,,,"Set this in EVE Voice Pilot, not in EVE."
Critical,Emergency and Survival,Drones,All Drones: Return to Drone Bay,SHIFT+R,recall drones|return drones|drones home,,,Aura,Drones returning.,Keep default.
Critical,Emergency and Survival,Combat,Dock/Jump/Activate gate,D,jump|dock|activate gate|jump gate,,,Aura,Gate command sent.,Keep default.
Critical,Emergency and Survival,Navigation,Stop Ship,CTRL+SPACE,stop ship|full stop|stop the ship,,,Aura,Full stop.,Keep default.
Critical,Emergency and Survival,Combat,Warp to,S,warp|warp to|warp now,,,Aura,Warp command sent.,Keep default.
High,Ship Movement,Combat,Align to,A,align|align to,,,,,Keep default.
High,Ship Movement,Combat,Approach,Q,approach|approach target,,,,,Keep default.
High,Ship Movement,Combat,Keep at Range,E,keep range|keep at range,,,,,Keep default.
High,Ship Movement,Combat,Orbit,W,orbit|orbit target,,,,,Keep default.
High,Ship Movement,Navigation,Set Full Speed,CTRL+ALT+SPACE,full speed|go full speed,,,,,Keep default.
Medium,Ship Movement,Navigation,Autopilot,CTRL+S,autopilot|toggle autopilot|auto pilot,,,Aura,I have the helm.,Verify this shortcut in EVE.
Low,Ship Movement,Navigation,Accelerate,NUMPLUS,accelerate,,,,,Verify this shortcut in EVE.
Low,Ship Movement,Navigation,Decelerate,NUMMINUS,decelerate,,,,,Verify this shortcut in EVE.
Low,Ship Movement,Navigation,Turn Left,LEFT,turn left,,,,,Verify this shortcut in EVE.
Low,Ship Movement,Navigation,Turn Right,RIGHT,turn right,,,,,Verify this shortcut in EVE.
High,Drones,Drones,All Drones: Engage,F,drones engage|engage drones,,,Aura,Drones engaging.,Keep default.
High,Drones,Drones,All Drones: Return and Orbit,SHIFT+ALT+R,drones orbit|return and orbit,,,,,Keep default.
High,Drones,Drones,Launch Drones,SHIFT+F,launch drones|send drones,,,,,Keep default.
High,Scanning and Intel,Combat,Directional Scan,V,d scan|directional scan,,,Aura,Directional scan pulsed.,Keep default.
High,Scanning and Intel,Window,Directional Scanner,ALT+D,open d scan|open directional scanner,,,,,Keep default.
High,Scanning and Intel,Window,Map,F10,open map|map,,,Aura,Map open.,Keep default.
High,Scanning and Intel,Window,Probe Scanner,ALT+P,open probes|open probe scanner,,,,,Keep default.
High,Scanning and Intel,Combat,Refresh Probe Scan,B,refresh probes|probe scan,,,,,Keep default.
Medium,Scanning and Intel,Window,Locations,L,locations,,,,,Verify this shortcut in EVE.
