row_id,command,shortcut,game_category,function_group,frequency_tier,frequency_score,voice_phrase_suggestion,source_note
EVP-142,Abort Undock,(None),General,Text and Window Controls,Low,2,abort undock,screenshot
EVP-182,Accelerate,Num +,Navigation,Ship Movement,Low,2,accelerate,screenshot
EVP-001,Access Lists,(None),Window,Core UI Windows,Low,2,access lists,screenshot
EVP-104,Activate Defense Mode,Shift-1,Combat,Combat Modes,Medium,3,activate defense mode,screenshot
EVP-219,Activate High Power Slot 1,F1,Modules,Modules and Weapons,High,4,activate high power slot 1,screenshot
EVP-220,Activate High Power Slot 2,F2,Modules,Modules and Weapons,High,4,activate high power slot 2,screenshot
EVP-221,Activate High Power Slot 3,F3,Modules,Modules and Weapons,High,4,activate high power slot 3,screenshot
EVP-222,Activate High Power Slot 4,F4,Modules,Modules and Weapons,High,4,activate high power slot 4,screenshot
EVP-223,Activate High Power Slot 5,F5,Modules,Modules and Weapons,High,4,activate high power slot 5,screenshot
EVP-224,Activate High Power Slot 6,F6,Modules,Modules and Weapons,High,4,activate high power slot 6,screenshot
EVP-225,Activate High Power Slot 7,F7,Modules,Modules and Weapons,High,4,activate high power slot 7,screenshot
EVP-226,Activate High Power Slot 8,F8,Modules,Modules and Weapons,High,4,activate high power slot 8,screenshot
EVP-227,Activate Low Power Slot 1,Ctrl-F1,Modules,Modules and Weapons,High,4,activate low power slot 1,screenshot
EVP-228,Activate Low Power Slot 2,Ctrl-F2,Modules,Modules and Weapons,High,4,activate low power slot 2,screenshot
EVP-229,Activate Low Power Slot 3,Ctrl-F3,Modules,Modules and Weapons,High,4,activate low power slot 3,screenshot
EVP-230,Activate Low Power Slot 4,Ctrl-F4,Modules,Modules and Weapons,High,4,activate low power slot 4,screenshot
EVP-231,Activate Low Power Slot 5,Ctrl-F5,Modules,Modules and Weapons,High,4,activate low power slot 5,screenshot
EVP-232,Activate Low Power Slot 6,Ctrl-F6,Modules,Modules and Weapons,High,4,activate low power slot 6,screenshot
EVP-233,Activate Low Power Slot 7,Ctrl-F7,Modules,Modules and Weapons,High,4,activate low power slot 7,screenshot
EVP-234,Activate Low Power Slot 8,Ctrl-F8,Modules,Modules and Weapons,High,4,activate low power slot 8,screenshot
EVP-235,Activate Medium Power Slot 1,Alt-F1,Modules,Modules and Weapons,High,4,activate medium power slot 1,screenshot
EVP-236,Activate Medium Power Slot 2,Alt-F2,Modules,Modules and Weapons,High,4,activate medium power slot 2,screenshot
EVP-237,Activate Medium Power Slot 3,Alt-F3,Modules,Modules and Weapons,High,4,activate medium power slot 3,screenshot
EVP-238,Activate Medium Power Slot 4,Alt-F4,Modules,Modules and Weapons,High,4,activate medium power slot 4,screenshot
EVP-239,Activate Medium Power Slot 5,Alt-F5,Modules,Modules and Weapons,High,4,activate medium power slot 5,screenshot
EVP-240,Activate Medium Power Slot 6,Alt-F6,Modules,Modules and Weapons,High,4,activate medium power slot 6,screenshot
EVP-241,Activate Medium Power Slot 7,Alt-F7,Modules,Modules and Weapons,High,4,activate medium power slot 7,screenshot
EVP-242,Activate Medium Power Slot 8,Alt-F8,Modules,Modules and Weapons,High,4,activate medium power slot 8,screenshot
EVP-105,Activate Propulsion Mode,Shift-3,Combat,Combat Modes,Medium,3,activate propulsion mode,screenshot
EVP-106,Activate Sharpshooter Mode,Shift-2,Combat,Combat Modes,Medium,3,activate sharpshooter mode,screenshot
EVP-002,AIR Career Program,(None),Window,Core UI Windows,Low,2,air career program,screenshot
EVP-107,Align to,A,Combat,Ship Movement,High,4,align,screenshot
EVP-272,All Drones: Engage,F,Drones,Drones,High,4,drones engage,screenshot
EVP-273,All Drones: Return and Orbit,Shift-Alt-R,Drones,Drones,High,4,drones orbit,screenshot
EVP-274,All Drones: Return to Drone Bay,Shift-R,Drones,Drones,Critical,5,recall drones,screenshot
EVP-108,Approach,Q,Combat,Ship Movement,High,4,approach,screenshot
EVP-183,Autopilot,Ctrl-S,Navigation,Ship Movement,Medium,3,autopilot,screenshot
EVP-143,Back,MOUSE4,General,Text and Window Controls,Low,2,back,screenshot
EVP-144,Broadcast Radial Menu,(None),General,Text and Window Controls,Low,2,broadcast radial menu,screenshot
EVP-184,Broadcast: Align to,(None),Navigation,Fleet Broadcasts,Low,2,broadcast align to,screenshot
EVP-185,Broadcast: At Location,(None),Navigation,Fleet Broadcasts,Low,2,broadcast at location,screenshot
EVP-186,Broadcast: Cycle Fleet Broadcast Recipients,(None),Navigation,Fleet Broadcasts,Low,2,broadcast cycle fleet broadcast recipients,screenshot
EVP-187,Broadcast: In Position at,(None),Navigation,Fleet Broadcasts,Low,2,broadcast in position at,screenshot
EVP-189,Broadcast: Jump to,(None),Navigation,Fleet Broadcasts,Low,2,broadcast jump to,screenshot
EVP-188,Broadcast: Jump to Beacon,(None),Navigation,Fleet Broadcasts,Low,2,broadcast jump to beacon,screenshot
